BTW_BUND 17;
Zwischenergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
187;Odenwald;6;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Bergstraße;6;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Hessen;99;186825;189728;186825;189728;142857;138632;142857;138632;2219;4931;2127;4216;140638;133701;140730;134416;47269;55444;42231;49063;49341;55217;43446;48420;8600;7253;9891;7356;8062;8486;9659;10872;;;;;9930;3579;13918;6452;15438;;16410;6774;0;3177;507;2242;0;;441;1159;1911;;1270;1013;;;1327;;;;128;;0;;888;525;;;;;;;;;;;;;0;;45;33;;;19;47;0;;;71;;;;;;;;;;;;;;;;;;;203;;;;;;0;;17;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;87;545;;389;
;
189;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;0;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Jena – Sömmerda – Weimarer Land I;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;Gotha – Ilm-Kreis;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;Erfurt – Weimar – Weimarer Land II;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;;;0;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;Gera – Greiz – Altenburger Land;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;;;0;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Thüringen;99;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
197;Neuwied;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Ahrweiler;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Koblenz;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;Mosel/Rhein-Hunsrück;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;Kreuznach;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Bitburg;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Trier;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;0;;0;;0;;0;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Montabaur;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;Mainz;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;;;0;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
206;Worms;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;0;;0;;0;;0;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;Ludwigshafen/Frankenthal;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;Neustadt – Speyer;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
209;Kaiserslautern;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;Pirmasens;7;177697;180540;177697;180540;135081;128753;135081;128753;2849;4085;2367;3159;132232;124668;132714;125594;48707;57201;47466;54877;38006;40180;32815;35108;8037;7486;9495;8172;5540;5059;6160;5960;;;;;8862;3446;11786;6344;16992;;18648;5461;;3326;633;3061;770;2429;834;2178;3430;3625;2383;2046;;;;;;;262;267;1888;;1560;;;;;;;;;;;;;483;;;45;42;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1916;;1595;
211;Südpfalz;7;0;0;0;0;0;0;0;0;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Rheinland-Pfalz;99;177697;180540;177697;180540;135081;128753;135081;128753;2849;4085;2367;3159;132232;124668;132714;125594;48707;57201;47466;54877;38006;40180;32815;35108;8037;7486;9495;8172;5540;5059;6160;5960;;;;;8862;3446;11786;6344;16992;;18648;5461;0;3326;633;3061;770;2429;834;2178;3430;3625;2383;2046;;;;;0;;262;267;1888;;1560;;;;;;;;;;;;;483;0;;45;42;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;405;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1916;;1595;
;
212;Altötting;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Erding – Ebersberg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Freising;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Fürstenfeldbruck;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;Ingolstadt;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;München-Nord;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;München-Ost;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;München-Süd;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;München-West/Mitte;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;München-Land;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;Rosenheim;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Bad Tölz-Wolfratshausen – Miesbach;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Starnberg – Landsberg am Lech;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Traunstein;9;208525;206868;208525;206868;160611;141456;160611;141456;1392;1544;1043;1126;159219;139912;159568;140330;;;;;25657;24570;18943;20875;7143;4117;8499;4193;12970;11973;14681;12334;80055;87598;71213;80351;9034;3313;14596;6139;16276;;19183;4597;;3034;440;2116;;;345;771;;;3805;2843;;;1210;912;3537;3390;1704;1843;;;787;;4547;;2921;1808;;;;;;;;164;;;16;18;;;22;36;;;;;;;;;;;;;;;;;;;;;;;176;;;;230;;;;23;;;;353;;;;;;;;;;;;;;;;;;;;;;;;185;;;;236;;;;;;;;;;;;;202;;;;;;;;187;;;;;;;;;;;;;;1917;;941;
226;Weilheim;9;166804;165415;166804;165415;134339;119201;134339;119201;1301;1341;779;969;133038;117860;133560;118232;;;;;19722;19372;15402;18049;6229;3337;7215;3553;12066;8939;12752;9266;63783;67678;57258;62418;9371;3736;13908;6162;13383;;16143;6620;;1851;352;1765;;1007;227;654;;4670;2876;3222;;;1186;836;4632;3076;2144;2141;;;724;;3852;4194;2219;2576;;;;;;;;137;;;23;35;;;14;25;;;;;;;;;;;;;;;;;;;;;;;186;;;;203;;;;18;;;;289;;;;;;;;;;;;;;;;;;;;;;;;162;;;;259;;;;;;;;;;;;;172;;;;;;;;211;;;;;;;;;;;;;;;;390;
227;Deggendorf;9;166659;165957;166659;165957;119459;100308;119459;100308;1067;894;704;779;118392;99414;118755;99529;;;;;20612;16066;16916;16700;4955;3024;5892;3367;5342;4450;5528;4370;52167;60975;48183;55877;4707;1950;8968;3810;20438;3205;22765;3985;;1418;248;1370;;1777;492;1541;6563;4667;4785;4205;;;923;721;;109;825;993;;;368;;3608;1773;2250;1652;;;;;;;;72;;;18;11;;;16;13;;;;;;;;;;;;;;;;;;;;;;;87;;;;95;;;;10;;;;117;;;;;;;;;;;;;;;;;;;;;;;;109;;;;160;;;;;;;;;;;;;90;;;;;;;;186;;;;;;;;;;;;;;;;566;
228;Landshut;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;Passau;9;176849;175517;176849;175517;131355;111024;131355;111024;1183;1229;784;909;130172;109795;130571;110115;;;;;24611;21558;19710;20349;6246;3541;7357;4139;7248;5693;8393;6590;61835;65598;52937;59369;7900;;11918;4945;18328;3451;20968;4320;;2069;324;1721;;1150;394;1003;;3795;3144;3167;;;1054;804;4004;2940;1692;1834;;;587;;;;1270;1027;;;;;;;;97;;;15;13;;;15;19;;;;;;;;;;;;;;;;;;;;;;;140;;;;134;;;;13;;;;151;;;;;;;;;;;;;;;;;;;;;;;;170;;;;185;;;;;;;;;;;;;119;;;;;;;;175;;;;;;;;;;;;;;;;424;
230;Rottal-Inn;9;168564;168478;168564;168478;124323;107566;124323;107566;1266;1268;819;917;123057;106298;123504;106649;;;;;17782;17056;15779;16066;4852;2756;5502;2840;6061;5073;6460;5242;55365;65095;52778;62705;8627;2179;11191;4344;18433;3129;20381;3827;;58;292;1471;;1669;362;1323;6030;5561;4703;3784;;;1016;740;3131;2950;2005;1793;;772;455;;2776;;1867;1432;;;;;;;;135;;;14;17;;;19;32;;;;;;;;;;;;;;;;;;;;;;;109;;;;99;;;;10;;;;163;;;;;;;;;;;;;;;;;;;;;;;;155;;;;144;;;;;;;;;;;;;121;;;;;;;;195;;;;;;;;;;;;;;;;582;
231;Straubing;9;172975;173773;172975;173773;129426;111537;129426;111537;1378;1167;1219;988;128048;110370;128207;110549;;;;;21523;19400;17511;17790;4765;2757;5589;3297;4601;3582;5845;4324;60975;67579;53711;63887;5669;2596;10307;4653;19263;3662;23580;4375;;1915;281;1627;;1858;583;1513;5877;3820;5410;4171;;;946;688;2748;3201;1645;1939;;;443;;2627;;1700;1390;;;;;;;;138;;;19;16;;;7;14;;;;;;;;;;;;;;;;;;;;;;;87;;;;95;;;;15;;;;167;;;;;;;;;;;;;;;;;;;;;;;;117;;;;149;;;;;;;;;;;;;81;;;;;;;;191;;;;;;;;;;;;;;;;455;
232;Amberg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
233;Regensburg;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;Schwandorf;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;0;;;;0;;;;0;;0;;0;;;;0;;0;;0;;;;0;;;;0;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
